Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Vertex AI,C7E2-9256-1C43,Gemini 3 Flash Text Input Caching,E5C2-A033-7712,"47,387",count,0,0,0,0.002369,0,-100%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Dammam to South America,9C8D-60C8-0D1E,0.012,gibibyte,0,0,0,0.002239,0,0%
Gemini API,AEFD-7695-64FA,Generate content output token count gemini 2.5 flash lite short output text non-thinking,7133-23F2-04B7,"3,310",count,0,0,0,0.001318,0,0%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash Lite Input Text Caching,95C5-4D3B-D378,"96,069",count,0,0,0,0.000949,0,0%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Pro Input Image Caching,85D1-8B9D-D7F9,"7,128",count,0,0,0,0.000888,0,0%
Secret Manager,EE82-7A5E-871C,Secret access operations,EBA7-264F-2D2C,378,count,0,0,0,0.000822,0,0%
Cloud Storage,95FF-2EF5-5EA1,Regional Standard Class A Operations,4DBF-185F-A415,143,count,0,0,0,0.000715,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Americas,F274-1692-F213,0.064,gibibyte,0,0,0,0.000601,0,-100%
Cloud Storage,95FF-2EF5-5EA1,Multi-Region Standard Class B Operations,8AE7-5BBD-8F38,"1,542",count,0,0,0,0.000596,0,0%
Cloud Build,8B5D-EF7D-EB12,Cloud Build: Network Data Transfer Out Internet Premium within North America,D5F9-06F3-71E0,0.004,gibibyte,0,0,0,0.000515,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Iowa (us-central1),1481-64C8-6805,0.069,gibibyte,0,0,0,0.000459,0,0%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Americas to Americas,238B-D94B-7243,0.003,gibibyte,0,0,0,0.000437,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Dammam to Africa,4988-4261-670C,0.002,gibibyte,0,0,0,0.000353,0,0%
App Engine,F17B-412E-CB64,Cloud Firestore Read Ops (named databases) Iowa,3BD0-4C1C-511E,"1,345",count,0,0,0,0.000344,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Australia,FDBC-6E3B-D4D8,0.002,gibibyte,0,0,0,0.000325,0,0%
Gemini API,AEFD-7695-64FA,Generate_content text cached input token count for gemini 2.5 Flash Lite,EBC7-B1E9-1DA3,"29,783",count,0,0,0,0.000292,0,0%
Cloud Run,152E-C115-5142,Jobs Memory in us-central1,8A79-9F45-5F32,120,gibibyte second,0,0,0,0.000239,0,0%
App Engine,F17B-412E-CB64,Cloud Firestore Internet Data Transfer Out from the Americas to the Americas (named databases),BCE3-7226-80CC,0.002,gibibyte,0,0,0,0.000232,0,0%
App Engine,F17B-412E-CB64,Cloud Firestore Internet Data Transfer Out from the Americas to APAC (named databases),C182-36AB-25F5,0.002,gibibyte,0,0,0,0.000211,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Americas,807D-0180-099C,0.002,gibibyte,0,0,0,0.000188,0,0%
Cloud Monitoring,58CD-E7C3-72CA,Time series billed count,6E35-67F5-C3C6,334,count,0,0,0,0.000166,0,0%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Dammam to EMEA,B6A2-4353-F012,0.001,gibibyte,0,0,0,0.000082,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Dammam to Australia,4F08-249E-AEF1,0.001,gibibyte,0,0,0,0.000068,0,0%
Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash Lite Thinking Text Output - Predictions,ACF4-228D-37B4,157,count,0,0,0,0.000062,0,-100%
Cloud Storage,95FF-2EF5-5EA1,Regional Standard Class B Operations,7870-010B-2763,119,count,0,0,0,0.000049,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to EMEA,85C5-B6AE-1FFC,0,gibibyte,0,0,0,0.000048,0,0%
Gemini API,AEFD-7695-64FA,Generate content cached input token count gemini 2.5 flash input short text,5CDC-4C82-2AEC,"1,458",count,0,0,0,0.000043,0,0%
Cloud SQL,9662-B51E-5089,Network Inter Connect Data Transfer Out Americas,AFEC-8830-099C,0.001,gibibyte,0,0,0,0.000035,0,0%
App Engine,F17B-412E-CB64,Cloud Firestore Storage (named databases) Iowa,BFC9-8971-1AA9,0,gibibyte month,0,0,0,0.000031,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Mumbai,741C-7D00-B75D,0,gibibyte,0,0,0,0.000029,0,0%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Dammam to Americas,FA16-0C0F-1CAC,0,gibibyte,0,0,0,0.000025,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Iowa (us-central1),C134-B6DB-FFCB,0.008,gibibyte,0,0,0,0.000025,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer Out via Carrier Peering Network - Americas Based,984A-1F27-2D1F,0.001,gibibyte,0,0,0,0.000024,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to London,A7F1-6E70-C2B3,0,gibibyte,0,0,0,0.000021,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Frankfurt to EMEA,E7A9-CA47-A3E3,0.001,gibibyte,0,0,0,0.000021,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Singapore to Apac(Excluding Korea and Indonesia),400E-0B94-6FB4,0,gibibyte,0,0,0,0.00002,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Jakarta to Apac(Excluding Korea and Indonesia),13AA-71ED-4A85,0,gibibyte,0,0,0,0.000019,0,0%
App Engine,F17B-412E-CB64,Cloud Firestore Entity Writes (named databases) Iowa,5FB2-E88A-9F36,79,count,0,0,0,0.000017,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to APAC,3CBB-0E02-620F,0,gibibyte,0,0,0,0.000014,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Netherlands,5B03-2650-E5D7,0,gibibyte,0,0,0,0.000014,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Virginia to Americas,1A51-8906-72EB,0,gibibyte,0,0,0,0.000012,0,0%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Americas to APAC,094A-C58C-9FD6,0,gibibyte,0,0,0,0.000012,0,0%
App Engine,F17B-412E-CB64,Cloud Firestore Storage (named databases),7227-51C8-66B0,0,gibibyte month,0,0,0,0.000012,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Netherlands to EMEA,EF9D-7A2D-D06F,0.001,gibibyte,0,0,0,0.000011,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Tokyo to Apac(Excluding Korea and Indonesia),B455-917B-2122,0,gibibyte,0,0,0,0.000009,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Sao Paulo,A75E-CF93-CA4E,0,gibibyte,0,0,0,0.000008,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Jakarta,644D-08CE-EFF4,0,gibibyte,0,0,0,0.000007,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Delhi,8A16-30EE-F9AC,0,gibibyte,0,0,0,0.000007,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Hong Kong,A97B-2198-30B0,0,gibibyte,0,0,0,0.000007,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Virginia,AA6F-A68F-FFFB,0,gibibyte,0,0,0,0.000007,0,0%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Americas to EMEA,7EB3-F1EB-EC4A,0,gibibyte,0,0,0,0.000007,0,0%
App Engine,F17B-412E-CB64,Cloud Firestore Entity Deletes (named databases) Iowa,FDA2-DE8F-5A66,113,count,0,0,0,0.000007,0,0%
Cloud SQL,9662-B51E-5089,Network Inter Region Data Transfer Out from Americas to Americas,8524-4DD5-9D67,0,gibibyte,0,0,0,0.000005,0,0%
Cloud SQL,9662-B51E-5089,Network Inter Region Data Transfer Out from Americas to London,A064-C398-CA09,0,gibibyte,0,0,0,0.000004,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Doha to Middle East,020A-7477-C111,0,gibibyte,0,0,0,0.000003,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Sao Paulo to South America,7893-6DB3-A27F,0,gibibyte,0,0,0,0.000003,0,0%
Artifact Registry,149C-F9EC-3994,Artifact Registry Network Internet Egress North America to North America,108E-9EAE-92D9,0,gibibyte,0,0,0,0.000002,0,-100%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Columbus to Americas,2623-976D-48E0,0,gibibyte,0,0,0,0.000002,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Sydney to Australia,65C5-505D-97C1,0,gibibyte,0,0,0,0.000002,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Sydney to Apac(Excluding Korea and Indonesia),A15E-2328-B902,0,gibibyte,0,0,0,0.000002,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Hong Kong to Apac(Excluding Korea and Indonesia),E7D1-5044-4A91,0,gibibyte,0,0,0,0.000002,0,0%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Dammam to APAC,B344-AF71-B08C,0,gibibyte,0,0,0,0.000002,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Day0 (Alabama) (us-east7),2E16-CE84-5092,0.001,gibibyte,0,0,0,0.000002,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Santiago to South America,0E9C-A5F4-5DBB,0,gibibyte,0,0,0,0.000001,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Finland to EMEA,366A-627A-2073,0,gibibyte,0,0,0,0.000001,0,0%
